trial_index,seed,x_meters,y_meters,distance_meters,bearing_degrees
146,1954364329,-9.3072,14.0094,16.8193,123.60
147,1141078829,-14.7442,1.8488,14.8596,172.85
148,1136466074,-11.5644,0.1229,11.5651,179.39
149,716895486,1.0302,13.1367,13.1770,85.52
150,1843757731,-10.6374,-11.5341,15.6905,227.32
151,43375158,-3.0493,20.4084,20.6349,98.50
152,1931166967,4.4679,18.3965,18.9313,76.35
153,151858857,7.1428,-18.9539,20.2551,290.65
154,436710667,4.9200,6.5011,8.1530,52.88
155,1056264808,15.8370,-9.6914,18.5670,328.54
156,1983452824,-16.6719,1.6447,16.7528,174.37
157,1922745855,12.3104,13.5050,18.2738,47.65
158,1224262125,9.6994,1.7895,9.8631,10.45
159,1348452143,5.0372,16.2866,17.0477,72.81
160,379917467,5.2860,-20.9233,21.5807,284.18
161,1761563159,-20.2806,-3.8296,20.6390,190.69
162,64242316,8.3818,-12.0190,14.6530,304.89
163,1239044427,5.9044,-20.2614,21.1042,286.25
164,80724507,-5.0599,-7.7376,9.2452,236.82
165,833700054,-7.5987,7.5134,10.6860,135.32
166,863541159,23.3951,4.8469,23.8919,11.70
167,956125464,-11.0855,-17.2347,20.4920,237.25
168,209580930,16.3483,-7.6831,18.0637,334.83
169,2013559957,18.2449,-13.3096,22.5836,323.89
170,1441888551,10.8882,0.5694,10.9031,2.99
171,1442858510,7.2223,9.2668,11.7488,52.07
172,1027130303,15.4866,-1.3469,15.5451,355.03
173,717473670,3.8259,11.4235,12.0472,71.48
174,1409833864,10.5673,5.9189,12.1120,29.25
175,1147387807,-6.8273,24.1932,25.1381,105.76
176,591567091,18.0554,14.5252,23.1728,38.82
177,1002102299,6.5084,6.8922,9.4796,46.64
178,1242241340,15.2782,7.6010,17.0645,26.45
179,639754869,4.6807,8.1991,9.4411,60.28
180,398246843,8.2590,-22.8929,24.3371,289.84
181,1954379415,-4.8708,-6.7531,8.3264,234.20
182,1229699150,-15.9787,-2.3253,16.1470,188.28
183,1285344371,-11.3757,-6.7771,13.2414,210.78
184,1415554452,11.8254,4.8203,12.7701,22.18
185,658223357,4.8943,-12.5232,13.4456,291.35
186,1344119584,-2.3488,-8.3774,8.7004,254.34
187,1166342891,17.4366,1.0303,17.4670,3.38
188,1717574512,6.5361,-19.8265,20.8761,288.25
189,227190324,13.4990,13.1299,18.8313,44.21
190,1511070927,-13.3740,-2.2230,13.5574,189.44
